Time and Data, sensor address, temperature (ºC), humidity (%), pressure (hPa)
22:01:00 27/03/2024, 0x76, 21.48, 61.90, 988.47
22:09:36 27/03/2024, 0x76, 21.04, 59.52, 988.47
22:11:24 27/03/2024, 0x76, 21.06, 60.44, 988.37
22:11:34 27/03/2024, 0x77, 20.74, 61.51, 987.47
22:11:44 27/03/2024, 0x76, 21.04, 59.60, 988.42
22:11:54 27/03/2024, 0x77, 20.70, 61.56, 987.47
19:14:02 28/03/2024, 0x76, 19.36, 64.03, 990.05
19:14:12 28/03/2024, 0x77, 19.18, 65.18, 989.08
19:15:39 28/03/2024, 0x76, 19.39, 63.98, 990.05
19:15:49 28/03/2024, 0x77, 19.21, 65.15, 989.08
19:17:55 28/03/2024, 0x76, 19.47, 63.80, 990.06
19:18:05 28/03/2024, 0x77, 19.27, 65.53, 989.02
19:18:52 28/03/2024, 0x76, 19.48, 63.89, 990.06
19:19:02 28/03/2024, 0x77, 19.28, 65.03, 989.10
19:19:12 28/03/2024, 0x76, 19.47, 63.79, 990.07
19:19:22 28/03/2024, 0x77, 19.29, 65.07, 989.08
19:19:32 28/03/2024, 0x76, 19.47, 63.63, 989.98
19:19:42 28/03/2024, 0x77, 19.28, 64.88, 989.10
19:19:52 28/03/2024, 0x76, 19.47, 63.57, 990.03
19:20:02 28/03/2024, 0x77, 19.28, 65.00, 989.10
19:20:12 28/03/2024, 0x76, 19.47, 63.71, 990.03
20:31:10 28/03/2024, 0x76, 20.01, 61.61, 990.61
20:31:20 28/03/2024, 0x77, 19.75, 63.12, 989.57
20:31:40 28/03/2024, 0x76, 20.00, 61.53, 990.59
20:32:08 28/03/2024, 0x76, 20.01, 61.69, 990.65
20:32:18 28/03/2024, 0x77, 19.76, 62.94, 989.67
20:32:28 28/03/2024, 0x76, 20.01, 63.03, 990.62
20:32:38 28/03/2024, 0x77, 19.76, 63.20, 989.67
20:32:48 28/03/2024, 0x76, 20.01, 61.76, 990.65
20:32:58 28/03/2024, 0x77, 19.75, 63.14, 989.61
20:33:08 28/03/2024, 0x76, 20.00, 61.68, 990.60
20:33:18 28/03/2024, 0x77, 19.75, 63.23, 989.63
20:33:28 28/03/2024, 0x76, 20.00, 61.91, 990.52
20:33:38 28/03/2024, 0x77, 19.75, 63.03, 989.55
20:33:48 28/03/2024, 0x76, 19.98, 61.35, 990.63
20:42:07 28/03/2024, 0x76, 20.01, 61.41, 990.56
20:42:18 28/03/2024, 0x77, 19.77, 62.91, 989.64
20:42:28 28/03/2024, 0x76, 20.01, 61.53, 990.50
20:42:38 28/03/2024, 0x77, 19.76, 62.77, 989.59
20:42:48 28/03/2024, 0x76, 19.99, 61.38, 990.58
20:42:58 28/03/2024, 0x77, 19.77, 64.08, 989.57
20:43:08 28/03/2024, 0x76, 20.02, 62.27, 990.63
20:44:28 28/03/2024, 0x76, 20.03, 61.84, 990.70
20:44:38 28/03/2024, 0x77, 19.78, 63.39, 989.76
20:44:48 28/03/2024, 0x76, 20.00, 61.60, 990.62
